Episode 82/1000 | Score: 200 | Reward: -101.25 | Epsilon: 0.67
Episode 83/1000 | Score: 200 | Reward: -98.80 | Epsilon: 0.66
Episode 84/1000 | Score: 200 | Reward: -112.09 | Epsilon: 0.66
Episode 85/1000 | Score: 200 | Reward: -107.84 | Epsilon: 0.66
Episode 86/1000 | Score: 200 | Reward: -110.37 | Epsilon: 0.65
Episode 87/1000 | Score: 200 | Reward: -82.29 | Epsilon: 0.65
Episode 88/1000 | Score: 200 | Reward: -106.81 | Epsilon: 0.65
Episode 89/1000 | Score: 200 | Reward: -138.88 | Epsilon: 0.64
Episode 90/1000 | Score: 200 | Reward: -117.89 | Epsilon: 0.64
Episode 91/1000 | Score: 200 | Reward: -92.67 | Epsilon: 0.64
Episode 92/1000 | Score: 200 | Reward: -115.51 | Epsilon: 0.63
Episode 93/1000 | Score: 200 | Reward: -112.20 | Epsilon: 0.63
Episode 94/1000 | Score: 200 | Reward: -115.18 | Epsilon: 0.63
Episode 95/1000 | Score: 200 | Reward: -140.14 | Epsilon: 0.62
Episode 96/1000 | Score: 200 | Reward: -97.79 | Epsilon: 0.62
Episode 97/1000 | Score: 200 | Reward: -88.21 | Epsilon: 0.62
Episode 98/1000 | Score: 200 | Reward: -96.93 | Epsilon: 0.61
Episode 99/1000 | Score: 200 | Reward: -100.72 | Epsilon: 0.61
Episode 100/1000 | Score: 200 | Reward: -182.03 | Epsilon: 0.61
Episode 101/1000 | Score: 200 | Reward: -98.87 | Epsilon: 0.61
Episode 102/1000 | Score: 200 | Reward: -143.86 | Epsilon: 0.60
Episode 103/1000 | Score: 200 | Reward: -95.89 | Epsilon: 0.60
Episode 104/1000 | Score: 200 | Reward: -169.35 | Epsilon: 0.60
Episode 105/1000 | Score: 200 | Reward: -159.69 | Epsilon: 0.59
Episode 106/1000 | Score: 200 | Reward: -127.23 | Epsilon: 0.59
Episode 107/1000 | Score: 200 | Reward: -110.56 | Epsilon: 0.59
Episode 108/1000 | Score: 200 | Reward: -165.30 | Epsilon: 0.58
Episode 109/1000 | Score: 200 | Reward: -118.77 | Epsilon: 0.58
Episode 110/1000 | Score: 200 | Reward: -92.12 | Epsilon: 0.58
Episode 111/1000 | Score: 200 | Reward: -88.74 | Epsilon: 0.58
Episode 112/1000 | Score: 200 | Reward: -96.24 | Epsilon: 0.57
Episode 113/1000 | Score: 200 | Reward: -104.02 | Epsilon: 0.57
Episode 114/1000 | Score: 200 | Reward: -106.18 | Epsilon: 0.57
Episode 115/1000 | Score: 200 | Reward: -79.46 | Epsilon: 0.56
Episode 116/1000 | Score: 200 | Reward: -76.23 | Epsilon: 0.56
Episode 117/1000 | Score: 200 | Reward: -106.59 | Epsilon: 0.56
Episode 118/1000 | Score: 200 | Reward: -124.10 | Epsilon: 0.56
Episode 119/1000 | Score: 200 | Reward: -103.80 | Epsilon: 0.55
Episode 120/1000 | Score: 200 | Reward: -148.29 | Epsilon: 0.55
Episode 121/1000 | Score: 200 | Reward: -130.25 | Epsilon: 0.55
Episode 122/1000 | Score: 200 | Reward: -122.30 | Epsilon: 0.55
Episode 123/1000 | Score: 200 | Reward: -163.88 | Epsilon: 0.54
Episode 124/1000 | Score: 200 | Reward: -90.70 | Epsilon: 0.54
Episode 125/1000 | Score: 200 | Reward: -157.34 | Epsilon: 0.54
Episode 126/1000 | Score: 200 | Reward: -124.01 | Epsilon: 0.53
Episode 127/1000 | Score: 200 | Reward: -108.27 | Epsilon: 0.53
Episode 128/1000 | Score: 200 | Reward: -91.81 | Epsilon: 0.53
Episode 129/1000 | Score: 200 | Reward: -111.32 | Epsilon: 0.53
Episode 130/1000 | Score: 200 | Reward: -130.17 | Epsilon: 0.52
Episode 131/1000 | Score: 200 | Reward: -119.48 | Epsilon: 0.52
Episode 132/1000 | Score: 200 | Reward: -169.83 | Epsilon: 0.52
Episode 133/1000 | Score: 200 | Reward: -132.26 | Epsilon: 0.52
Episode 134/1000 | Score: 200 | Reward: -124.69 | Epsilon: 0.51
Episode 135/1000 | Score: 200 | Reward: -118.92 | Epsilon: 0.51
Episode 136/1000 | Score: 200 | Reward: -136.11 | Epsilon: 0.51
Episode 137/1000 | Score: 200 | Reward: -128.91 | Epsilon: 0.51
Episode 138/1000 | Score: 200 | Reward: -113.07 | Epsilon: 0.50
Episode 139/1000 | Score: 200 | Reward: -120.52 | Epsilon: 0.50
Episode 140/1000 | Score: 200 | Reward: -112.69 | Epsilon: 0.50
Episode 141/1000 | Score: 200 | Reward: -110.70 | Epsilon: 0.50
Episode 142/1000 | Score: 200 | Reward: -138.34 | Epsilon: 0.49
Episode 143/1000 | Score: 200 | Reward: -132.68 | Epsilon: 0.49
Episode 144/1000 | Score: 200 | Reward: -124.01 | Epsilon: 0.49
Episode 145/1000 | Score: 200 | Reward: -134.06 | Epsilon: 0.49
Episode 146/1000 | Score: 200 | Reward: -100.31 | Epsilon: 0.48
Episode 147/1000 | Score: 200 | Reward: -120.62 | Epsilon: 0.48
Episode 148/1000 | Score: 200 | Reward: -138.10 | Epsilon: 0.48
Episode 149/1000 | Score: 200 | Reward: -126.32 | Epsilon: 0.48
Episode 150/1000 | Score: 200 | Reward: -133.14 | Epsilon: 0.47
